;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
s	去
eru	掇
dvtz	河口
dvta	贺卡
ermx	柁
dvtg	何苦
erif	度
dvtn	何况
erej	夺
ergm	躲
dvu	何妨
dvuw	合肥
dvua	合法
dvud	何方
dvug	和服
dvuh	盒饭
dvui	和风
dvxs	怙恶不悛
dvxw	河北
dvxc	何必
dvxg	何不
dvxg	华而不实
dvxh	合办
dvxj	荷包
dvxm	河边
dvxn	含而不露
dvxq	哈尔滨工业大学
dvxt	合并
dvxu	惠而不费
dvxx	哈尔滨
dvxy	和而不同
ervy	堕
dvyc	合体
dvyd	喝汤
erkx	舵
dvyf	河豚
dvyh	何谈
dvyj	核桃
erzm	跺
dvyo	合同
erym	垛
erqr	惰
dasm	哈欠
ertc	咄
eruf	掇
dada	哈哈
daea	哈达
el	跌
elx	爹
dama	蛤蟆
danz	哈喽
danr	哈罗
elc	蝶
dats	和蔼可亲
elg	碟
daur	哈佛
db	湖南
dbwe	海内外
dbzf	还能怎样
dbzg	哈尼族
dbce	汗牛充栋
dbdf	何年何月
dbej	海南岛
dbeq	河南大学
dbfi	患难与共
dbgi	河南省
dbgi	湖南省
dbgj	后脑勺
dbgq	华南师范大学
dbgr	很难说
dbhs	患难见真情
dbhq	回娘家
dbjh	海内存知己
dbkf	还能这样
dbkh	患难之交
dbmf	猴年马月
dbnb	红男绿女
dbnc	很努力
dbnh	很难理解
dbqq	很难想象
dbus	患难夫妻
dbxc	海纳百川
dbxe	好男不与女斗
dbyg	混凝土
dc	好处
dcs	缓冲区
dcsg	豁出去
dcsn	豁出去了
dcwy	很成问题
dczq	回嗔作喜
dccu	昏沉沉
dcd	缓冲行
dcdc	呼哧呼哧
dcdd	好吃好喝
dces	回肠荡气
dcee	缓冲带
dceo	混吃等死
dceq	汉城大学
dcfe	还差一点
dcfh	很长一段时间
dcgc	候车室
dcgh	很长时间
dcjf	何出此言
dckc	横冲直闯
dckh	火车站
dckk	横冲直撞
dcmg	回春妙手
dcnz	好吃懒做
dcnn	酣畅淋漓
dcph	汗出如浆
dcqw	合成纤维
dcte	寒窗苦读
dcuw	好处费
dcxg	何尝不是
elf	叠
ddss	和和气气
ddsf	欢呼雀跃
ddsj	含糊其辞
ddst	行情
elzg	跌
ddws	后患无穷
elfm	谍
ddwe	挥霍无度
ddwg	行伍
ddwj	何患无辞
elz	迭
ddzc	好孩子
ddzq	怀恨在心
ddvv	浑浑噩噩
ddvh	哼哈二将
elp	佚
ddcz	花花肠子
ddcc	昏昏沉沉
ddcf	行行出状元
ddci	航程
ddda	哈哈哈
dddd	含含糊糊
dddd	恍恍惚惚
ddde	航海
dddg	黑乎乎
dddi	画虎画皮难画骨
dddn	互惠互利
dddo	好合好散
dddq	行话
dddr	行货
dddy	呼和浩特
ell	牒
dded	行当
ddee	浩浩荡荡
ddeg	呼呼大睡
elt	喋
ddej	航道
eln	耋
ddeq	哈哈大笑
ddfs	后会有期
ddfv	行业
ddfb	祸害遗千年
ddff	航运
ddff	花好月圆
ddfg	昏昏欲睡
ddfj	后悔药
ddfm	赫赫有名
ddfo	混合泳
ddfq	挥挥衣袖
ddgz	挥挥手
ddgc	夯实
ddgd	好好说话
ddgg	行数
ddgh	花花世界
ddgr	好好说
ddhg	行距
ddhh	哼哼叽叽
ddhh	悔恨交加
ddhk	鸿鹄将至
ddhp	花花轿子人抬人
ddhq	行家
ddiz	花花公子
ddib	黄花闺女
ddik	行规
elxq	爹
ddjc	行次
ddje	黄花菜
ddjj	花花草草
ddjn	黄花菜都凉了
elcm	蝶
elgm	碟
ddkz	杭州
ddkd	行长
ddkg	悔恨终生
ddkh	航站
ddki	赫赫之功
ddkk	慌慌张张
ddkk	鸿鹄之志
ddkn	黄河之水天上来
elfs	叠
eltm	喋
ddmg	航母
ddmh	后悔莫及
ddng	航路
ddnh	合乎逻辑
ddnl	行列
ddnn	花花绿绿
ddnn	轰轰烈烈
elny	耋
es	丢
ddog	航速
ddom	挥毫洒墨
ddpf	挥汗如雨
ddqg	好好学习，天天向上
ddqm	航线
ddqn	航向
ddqq	好好学习
ddqt	航行
ddqt	环环相扣
esl	丢
eslo	丢
ddto	航空
ddui	何海峰
ddxs	含糊不清
ddxa	还好吧
ddxb	航标
ddxf	好汉不提当年勇
ddxg	还好不是
ddxh	航班
ddxk	呵护备至
ddxp	惶惶不可终日
ddxt	好汉不吃眼前亏
ddxu	好坏不分
ddxx	好话不说二遍
ddym	航天
ddyo	花花太岁
ep	段
epg	短
desg	红灯区
epm	断
epn	端
deww	还未
dewe	海外
dewf	化敌为友
dewh	海湾
dewh	荒诞无稽
dewn	画地为牢
eph	锻
epo	缎
dezw	厚德载物
dezc	孩子
dezd	海葬
deze	还在
dezj	还早
epd	煅
epmf	椴
deab	海岸
debs	很多年前
debw	海内
debb	海鸟
debh	海南
debi	还能
debm	好多年
deca	还差
decd	还长
decg	害处
decg	华灯初上
dech	海产
deco	害虫
ded	划等号
dedb	何德何能
dede	很多很多
dedg	患得患失
dedg	或多或少
dedh	海涵
dedj	还好
dedk	还会
dedo	鹤顶红
dedq	忽大忽小
dedr	海货
dedu	好得很
epga	短
deew	还得
deez	好大的面子
deea	横刀夺爱
deec	海底
deee	海带
deeg	黄赌毒
deeh	海胆
deej	海盗
ephf	锻
defz	还有
defa	海牙
defc	骇异
defd	海洋
deff	海运
defg	海域
defg	轰动一时
defh	海燕
defj	还要
epof	缎
defo	还用
defp	海员
degc	还是
degd	海上
degd	河东狮吼
degi	还剩
degk	海水
degq	华东师范大学
degr	还说
degu	海参
dehb	海角
dehf	海军
dehp	黄道吉日
deht	海景
epy	塅
deid	海港
deig	骸骨
deik	海龟
deip	海关
dejc	好多次
deje	喝倒彩
dejj	海草
dekv	海蜇
dekh	海战
deko	海中
dela	害怕
delm	幻灯片
epyf	塅
demw	还没
dema	海马
demm	海绵
demm	海面
eo	动
den	好多了
denv	害了
denc	海里
dend	海浪
dene	合得来
denf	海轮
denf	寒冬腊月
deng	海路
denh	皇帝轮流坐，明年到我家
denj	活到老
denk	海底捞针
denm	横刀立马
denn	海量
deno	洪都拉斯
denr	海螺
deoc	害死
deoj	害臊
deop	还算
dep	很多人
depu	害人
deqs	害羞
deqb	海啸
deqc	好东西
deqd	黑灯瞎火
deqf	蝴蝶效应
deqg	还需
deqi	好大喜功
deqm	海鲜
deqn	还想
deqp	海选
deqq	海峡
deqt	还行
deqx	邯郸学步
eoa	东
derg	海鸥
eoe	洞
eoq	懂
detz	海口
detg	害苦
deth	还看
eoj	董
eovn	动
eow	冬
eom	栋
deuz	红得发紫
deui	海风
eoee	冻
dexz	虎毒不食子
dexa	海拔
dexg	还不
dexh	荒诞不经
dexj	海报
dexm	海边
dext	害病
dexx	海滨
deyc	孩提
deyd	海棠
deyf	海豚
deyh	海滩
deyj	海涛
deyo	孩童
eot	咚
dfsc	婚期
dfsd	后院起火
dfsf	花言巧语
dfsg	婚娶
dfsm	婚前
dfsp	黑眼圈
dfst	婚庆
eop	侗
dfws	花冤枉钱
dfwc	厚颜无耻
dfwe	荒淫无度
dfwn	好逸恶劳
dfwn	话音未落
dfza	混杂
dfzc	旱鸭子
dfze	混在
eov	峒
dfvw	和衣而卧
eos	氡
dfab	昏暗
eoy	垌
dfbd	花样年华
dfbo	含饴弄孙
eog	硐
eoqt	恫
dfcg	鸿雁传书
dfci	混成
dfcu	昏沉
dfdw	昏黑
dfdz	婚后
dfdv	混合
dfde	诲淫诲盗
dfdf	混混
dfdg	红颜祸水
dfdh	忽远忽近
dfdi	行有行规
dfdj	诨号
dfdn	昏黄
dfdq	昏花
dfdq	忽隐忽现
eor	胴
dfev	好样的
dfea	混搭
eoae	东
dfed	好勇斗狠
dfef	混沌
eoet	洞
dfeh	混蛋
dfej	昏倒
dfen	很有道理
dfep	魂断
eoqk	懂
eojk	董
eowe	冬
eopt	侗
dffe	毁于一旦
dfff	很有意义
dffg	婚育
dffh	婚宴
dffo	昏庸
dffo	和颜悦色
dffp	浑圆
dffu	花园洋房
dffx	婚姻
dffy	婚约
eovt	峒
dfga	婚纱
dfgc	婚事
dfgk	昏睡
dfgk	慧眼识珠
dfgn	混双
eose	氡
dfgu	浑身
eogt	硐
dfhs	喊冤叫屈
dfhc	混迹
dfhd	含英咀华
dfhe	何以见得
dfhf	昏君
dfhh	火眼金睛
dfhl	婚介
dfhm	婚检
dfhq	婚嫁
dfhx	混进
dfhy	昏厥
dfi	换一个
dfiv	混个
dfik	魂归
dfin	话音刚落
eort	胴
eg	读
dfje	荤菜
dfjx	毁誉参半
dfkz	好一阵子
dfkd	混账
dfkf	豪言壮语
dfkh	混战
dfkh	红颜知己
dfki	后遗症
dfko	很严重
dfkr	浑浊
dflw	婚配
dfle	混排
dflf	汉语拼音
dflr	魂魄
dflx	混拼
egi	度
dfmc	昏迷
egu	毒
dfnc	婚礼
dfne	获益良多
dfnf	胡言乱语
dfng	回忆录
dfnm	婚恋
dfnp	混乱
dfod	婚丧
dfog	婚俗
dfpg	混入
dfph	浑然
dfqs	好言相劝
dfqb	混淆
dfqn	混响
dfqp	昏眩
egm	杜
dfqt	荤腥
dfqy	混血
dftb	很有可能
dftk	昏聩
dfus	获益匪浅
dfuw	会议费
dfuz	婚否
dfud	混纺
dfuq	花样翻新
dfxs	怀冤抱屈
dfxc	花样百出
dfxf	很有必要
dfxg	还有不少
dfxh	很一般
dfxk	很有帮助
dfxm	红颜薄命
dfyf	馄饨
dfyo	混同
egn	都
egs	独
egt	赌
dgsc	回收期
dgsh	皓首穷经
ege	渡
egy	堵
egr	肚
dgww	护卫
dgwe	户外
dgwg	回首往事
egtv	嘟
egg	督
egrr	睹
dgwu	忽闻
dgzc	胡子
dgzk	活受罪
egk	笃
dgvp	忽而
egb	妒
egh	镀
egee	渎
dgac	互爱
egbe	犊
egl	牍
egme	椟
egf	读
egum	毒
dgbh	湖南
dgbj	胡闹
dgbo	糊弄
egmy	杜
egtr	赌
dgcz	狐臭
dgcv	胡扯
dgcc	互斥
egef	渡
dgcg	好事成双
dgck	胡吹
egyr	堵
egry	肚
dgds	好声好气
dgdd	护航
dgde	何时何地
dgdf	绘声绘影
eggr	督
dgdh	呼喊
dgdk	互惠
dgdn	火烧火燎
dgdo	绘声绘色
dgdp	互换
dgdp	呼唤
dgdq	胡话
egkm	笃
eghf	镀
egle	牍
ega	蠹
ek	对
ekv	队
eky	堆
dgee	虎视眈眈
dgef	华盛顿
dgeg	弧度
dgeg	好说歹说
dgeh	虎胆
ekx	兑
dgel	蝴蝶
dgem	护垫
dgem	好事多磨
dgeo	互动
dgep	护短
ekw	敦
ekfj	对
ekg	碓
ekz	追
dgfz	忽悠
ekzt	追
dgfa	虎牙
dgfc	狐疑
dgfd	护养
dgfg	呼吁
dgfh	护眼
dgfn	荒山野岭
dgfp	很少有人
ekyu	堆
dgft	呼应
ekxv	兑
ekww	敦
dggc	忽视
dggc	护士
dgge	浑身是胆
ekgu	碓
dggf	含沙射影
dggg	户数
dggh	忽闪
dggi	呼声
dggj	呼哨
dggk	湖水
dggm	海誓山盟
dggn	海市蜃楼
dggq	浑身上下
dggr	胡说
dggu	护身
dghs	呼救
dghb	呼叫
dghc	户籍
dghf	火上浇油
dghq	护驾
dght	湖景
ew	得
ewc	得
dgie	壶盖
ewcj	得
dgij	胡搞
eqt	嗲
eqtq	嗲
ef	顿
eft	吨
efyp	顿
dgkz	胡诌
dgkv	护着
dgkg	后事之师
dgkh	横生枝节
dgkj	护照
dgkn	还手之力
dgko	湖中
dgky	好事之徒
efl	盾
dgle	互派
dglh	湖畔
dglk	横竖撇点折
efd	炖
dglr	湖泊
efz	蹲
efw	敦
dgmw	狐媚
dgmf	混水摸鱼
efy	墩
dgmh	毁尸灭迹
dgmm	火烧眉毛
efzr	遁
efty	囤
dgmt	户名
dgmu	虎门
dgn	黄鼠狼
dgna	呼啦
dgnb	黄鼠狼给鸡拜年
dgnc	护理
dgnc	狐狸
dgnd	虎狼
dgne	胡来
dgne	欢声雷动
dgnf	囫囵
dgng	呼噜
dgng	葫芦
dgnh	护栏
dgnh	华山论剑
dgnj	和事佬
dgnk	换手率
dgnm	互联
dgnp	胡乱
dgny	忽略
dgof	猢狲
dgoo	护送
dgp	很少人
dgpd	互让
dgph	忽然
dgpn	鼾声如雷
dgpu	唬人
efh	钝
dgqb	呼啸
dgqc	呼吸
dgqf	欢声笑语
dgqg	胡须
dgqm	弧线
dgqn	互相
efr	盹
dgqt	户型
dgqx	互信
dgqy	虎穴
efe	沌
efwp	趸
eflr	盾
efdy	炖
efzj	蹲
dgtw	后生可畏
dgtz	户口
efyw	墩
efry	盹
efey	沌
ez	都
dgua	护法
dgud	互访
dgug	护肤
dgxw	湖北
dgxb	昏睡百年
dgxe	胡说八道
dgxg	互补
dgxj	还是不错
dgxm	湖边
dgxn	海水不可斗量
dgxr	互搏
dgxx	湖滨
dgyz	画蛇添足
dgyg	糊涂
dgyj	胡桃
dgyo	互通
eze	斗
eza	豆
dhsc	寒气
ezz	逗
dhst	汗青
dhww	捍卫
dhwn	后继无力
dhwp	后继无人
ezu	抖
dhwu	韩文
ezxe	窦
dhz	花架子
dhzc	汉字
dhze	旱灾
dhzg	汉族
ezl	兜
dhzk	酣醉
ezxv	兜
ezv	陡
dhat	阖家安康
dhbm	好几年
ezx	痘
dhcz	汗臭
dhcd	酣畅
dhce	化茧成蝶
dhcg	喊出
dhch	寒蝉
ezj	蔸
dhcj	寒潮
dhcn	寒窗
dhcu	寒碜
ezc	蚪
dhds	很久很久以前
dhdw	狐假虎威
dhdz	憨厚
dhdg	含糊
dhdg	换句话说
dhdh	很久很久
ezfe	读
dhdk	好几回
dhdn	阖家欢乐
dhdq	汉化
ezaa	豆
ezza	逗
dhec	旱地
dhee	寒带
ezlv	兜
dheh	邯郸
ezvp	陡
dhem	汉典
dheo	寒冬
dheo	撼动
ezxa	痘
ezjv	蔸
ezcg	蚪
dhfs	很久以前
dhfw	荒郊野外
dhfz	含有
dhfv	汗液
dhfc	含义
dhfd	涵养
dhff	行家一出手，就知有没有
dhfg	汉语
dhfh	汗颜
eab	妲
dhfn	荒郊野岭
dhfp	喊冤
dhfp	后继有人
dhfy	欢聚一堂
eabe	妲
edmv	𣗋
dhgz	函授
dhgv	寒舍
dhgb	好几十年
dhgc	憾事
dhgg	函数
dhgh	汗衫
dhgi	喊声
dhgk	汗水
ecr	睇
dhh	汉奸
dhhb	喊叫
dhhc	旱季
dhhf	讳疾忌医
dhhg	韩剧
dhhl	焊接
dhhm	罕见
dhhq	寒假
ecme	柢
dhiz	函购
ecwh	𤧛
dhie	涵盖
dhig	横加干涉
dhij	函告
dhik	活见鬼
dhin	寒光
ehtd	赕
dhir	韩国
ehxn	瘅
dhjc	好几次
etx	疔
etxe	疔
erme	杕
dhkz	横加指责
dhkv	含着
dhkb	花甲之年
dhkc	憨直
dhkg	汗珠
dhkh	寒颤
dhko	汉中
eake	笪
eaqe	怛
eazz	跶
dhmc	胡搅蛮缠
dhmj	汗毛
eaj	荙
dhns	寒流
dhnw	含泪
dhnv	好极了
dhng	寒露
dhni	寒冷
dhnl	虎踞龙盘
dhnn	含量
dhnq	花街柳巷
eajz	荙
dhnx	翰林
dhop	寒酸
ead	炟
dhph	悍然
eahz	𫟼
eaet	溚
dhpu	汉人
dhpy	挥金如土
ejuq	纛
dhqb	憨笑
dhqg	含蓄
ejue	捯
dhqm	汗腺
dhqp	寒暄
ejke	舠
dhqt	喊醒
dhqu	阖家幸福
dhqx	寒心
dhqy	汉学
ejh	帱
ejhj	帱
ejm	梼
ejmj	梼
ejqe	忉
eja	鱽
dhtz	汉口
dhtg	寒苦
eety	呔
eezt	迨
eeot	绐
dhui	寒风
dhun	后继乏力
dhup	后继乏人
eece	轪
eepy	垈
dhxc	好景不长
eev	叇
dhxh	好久不见
eevz	叇
dhxj	汉堡
dhxt	寒冰
dhxu	厚积薄发
dhxu	合久必分
dhya	旱獭
dhyd	汉唐
dhye	憨态
dhyf	海角天涯
evh	锝
dhym	好几天
evhj	锝
disg	昏过去
disl	横切
disn	缓过气来
evt	嘚
evtj	嘚
diwf	好高骛远
euu	扽
diwr	横卧
diwu	恒温
dizc	好果子吃
dize	横在
dizj	横遭
dizq	悔过自新
dizu	后果自负
euuy	扽
dibn	灰姑娘
eiri	戥
eiw	璒
eiwa	璒
dicd	哼唱
dicp	横穿
dicu	横陈
dida	哼哈
didi	哼哼
didq	回个话
didr	横祸
dieg	横渡
dieo	哈根达斯
dier	花骨朵
diet	恒定
difs	缓过一口气
difc	横溢
difd	衡阳
difg	好钢用在刀刃上
difm	祸国殃民
dify	横越
dig	花果山
digg	横竖
digh	恒山
digh	衡山
digi	恒生
dign	回过神来
digo	湖光山色
digu	回过神
dihs	恒久
dihc	哼唧
dihh	宏观经济
diid	横杠
diih	横杆
diip	横贯
diiu	横亘
diix	化干戈为玉帛
edw	珰
edwv	珰
dije	横财
dikv	横着
dikf	后顾之忧
diki	合格证
dilc	横批
dile	横排
dilh	横盘
ecrl	睇
dimw	横眉
ecpm	籴
dimh	横蛮
dimm	红光满面
ecgv	觌
dine	黑咕隆咚
dinn	衡量
dioc	横死
dioj	横扫
dip	回锅肉
dipz	横肉
ecjg	菂
diq	回归线
diqs	很感兴趣
diqc	花鼓戏
diqf	欢歌笑语
eczh	遆
diqm	横线
diqn	横向
diqt	恒星
diqx	恒心
ecbh	媂
eca	髢
ditq	横跨
diug	横幅
diuk	回光返照
dixh	厚古薄今
diys	回过头去
diyz	回过头
diyb	横条
diyc	和光同尘
diyn	回过头来
diyt	宏观调控
ecaf	髢
djss	好球
djsb	好巧
djsc	好奇
djsg	耗去
djsn	好强
djst	豪情
ecgn	䃅
ecgp	疐
djwe	号外
djwg	毫无
djwh	好玩
eczp	踶
djwu	好文
djzz	好走
djzc	耗资
djzd	好脏
djze	好在
djzr	好做
djvv	好饿
djaa	好啊
djab	毫安
ecip	鞮
djbh	好难
djbi	耗能
eczt	蹢
djcz	好丑
djca	好差
djcc	好吃
djcd	好长
djci	号称
ehj	萏
djd	浩瀚
djdw	好黑
djdv	好喝
djdh	好汉
djdj	好好
djdq	豪华
djdr	好货
djdt	好坏
ehjh	萏
ehvp	聃
djez	好斗
djev	好的
djea	好大
djed	浩荡
djee	好歹
djeg	好赌
djem	好点
djem	耗电
djeo	好动
ehke	疍
djer	好多
ehqd	惔
ehqt	憺
djfz	好友
djfa	好呀
djfc	好意
djff	好运
djfg	好于
djfo	好用
djfp	好远
djfx	豪饮
djg	豪绅
djgz	好受
djgc	好事
djgg	好书
djgi	毫升
djgj	好少
djgm	花草树木
djgn	豪爽
djgp	获此殊荣
djgq	好耍
djgr	好说
djgu	耗神
etw	玎
djhs	好久
djhb	号角
djhc	好记
djhl	浩劫
djhq	好假
etwe	玎
djhx	耗尽
djiz	壕沟
djih	好感
djij	好高
djik	好贵
djip	好官
djir	好过
djit	好乖
etv	耵
djje	耗材
djjh	好惨
etve	耵
emyt	坫
emvt	阽
djke	豪宅
djkh	好战
djkj	号召
djkp	好转
emd	扂
djla	好怕
djlt	好评
djm	好吗
djmw	好美
djma	号码
djmb	毫秒
djmc	毫米
djmd	好忙
djme	豪迈
djmh	好慢
djmi	好梦
djmj	毫毛
djmu	豪门
emdt	扂
djnw	好累
djnv	好了
djna	好啦
djnc	毫厘
djne	好赖
djng	花丛老手
djni	好冷
djnm	好脸
djnp	好乱
djnt	号令
djov	好色
djoc	好似
djof	耗损
djpv	好热
djpd	好让
emwp	琔
djph	浩然
djpp	好软
djpu	好人
djqb	好笑
djqc	好戏
djql	好些
djqm	好险
djqn	好像
djqo	好凶
djqp	好悬
djqq	豪侠
djqx	好心
djqy	好学
ebhe	铫
ebhh	铞
ebx	窎
ebxb	窎
djtv	好客
djtc	祸从口出
djtf	好困
ervq	隳
djth	好看
ertm	哚
djtt	好快
djuw	耗费
djua	毫发
djud	豪放
djuh	好烦
erl	裰
djxa	好吧
djxc	好比
djxd	好棒
djxf	怀才不遇
djxg	毫不
djxh	好办
djxj	好报
erlf	裰
djxx	厚此薄彼
eryc	埵
erfe	剟
eryf	㙍
djyh	祸从天降
djyi	好疼
djyj	嚎啕
djyl	好帖
djyo	好痛
djyt	好听
ela	鲽
dksc	晦气
dksc	哗众取宠
dksm	会签
dksn	火中取栗
dksp	挥拳
elam	鲽
dkww	回味
ely	垤
dkwd	回望
dkwg	会晤
dkwg	挥舞
dkwh	会玩
dkwn	化整为零
dkwu	回稳
dkzc	汗珠子
dkzg	回族
dkzi	回赠
dkzk	回嘴
dkzo	汇总
elym	堞
elyy	垤
elzm	蹀
eli	瓞
dkab	灰暗
elig	瓞
dkbp	回暖
elr	昳
elrg	昳
dkcz	回抽
dkcv	回车
dkcc	挥斥
dkcd	会场
dkcf	回春
dkci	回程
dkcj	回潮
dkco	蛔虫
elty	咥
elo	绖
dkcu	灰尘
eloy	绖
elrl	䏲
dkdz	会后
dkdv	回合
dkdd	回航
dkdf	悔婚
dkdh	后知后觉
dkdj	挥毫
dkdk	会徽
dkdn	辉煌
dkdo	恢弘
dkdq	回话
dkdr	挥霍
dkdt	毁坏
dkdu	悔恨
esh	铥
dkea	回答
dkeb	毁掉
dked	回荡
dkeg	灰度
dkeh	回单
dkej	回到
dkek	汇兑
dkem	回电
dkeo	挥动
esho	铥
epk	簖
dkf	呼之欲出
epkh	簖
dkfz	会有
dkfc	会议
dkfc	回忆
epwf	瑖
dkfd	话中有话
dkfh	汇演
dkfj	很重要
epv	耑
dkfo	会用
dkfp	会员
dkfq	好整以暇
dkft	回应
dkfx	回音
dkfy	毁约
epvv	耑
dkgz	回收
dkgc	回事
dkgd	会商
dkgh	回删
dkgi	回升
eoeb	鸫
dkgr	会说
dkgu	会审
eore	胨
dkhs	挥之即去
dkhb	汇缴
dkhc	汇集
eove	岽
dkhg	汇聚
dkhg	货真价实
dkhm	会见
dkhn	呼之即来
dkhq	回家
dkht	回敬
dkhx	灰烬
dkhy	回绝
egic	髑
dkiz	回购
dkie	悔改
dkif	回滚
dkig	回顾
dkih	和衷共济
egd	黩
dkik	回归
egko	厾
dkip	会馆
dkir	回国
egjy	芏
dkje	回踩
dkjh	会餐
dkjk	荟萃
egbt	姤
ekh	镦
ekhw	镦
dkk	徽章
dkkz	惠州
dkkc	回执
dkkd	会长
dkkh	会展
dkkk	花枝招展
dkkp	回转
dkkq	会展中心
dkku	会诊
ekf	怼
dklb	汇票
dklg	惠普
dklx	化妆品
ekl	祋
dkmz	回眸
dkml	毁灭
dkmm	会面
eklf	祋
efgw	礅
dkmx	回民
dkns	回流
dknw	挥泪
dknv	毁了
dknc	花枝乱颤
dknd	回廊
dkne	回来
dkng	贿赂
dknk	汇率
dknl	厚着脸皮
dkno	回笼
dknq	蕙质兰心
dknr	回落
efqz	惇
dkov	晦涩
dkov	灰色
dkoa	挥洒
dkof	毁损
dkog	回溯
efgy	砘
dkop	汇算
dkor	会所
efyy	坉
dkpg	汇入
dkpi	恨之入骨
dkpj	回绕
dkpo	毁容
efqy	忳
ezk	篼
ezkv	篼
dkql	诙谐
dkqm	灰线
dkqn	回想
dkqo	灰熊
dkqp	回旋
dkqq	麾下
dkqt	彗星
dkqx	回信
dkqx	灰心
ezh	钭
ezhg	钭
evxg	的
eiqa	憕
ehwe	亶
dktz	回扣
dktv	会客
etjp	萣
emk	簟
dktj	会考
dktk	回馈
dkyk	回退
dktp	汇款
ebmt	椆
erwn	亸
elmm	楪
eplf	段
dkuw	会费
eodt	烔
dkua	挥发
efmr	楯
dkud	回访
dkug	恢复
dkuh	回返
dkui	汇丰
edef	𬍡
dkx	回报
dkxs	挥之不去
dkxb	徽标
dkxb	会者不难
dkxc	回避
dkxd	毁谤
dkxe	灰白
dkxh	悔之不及
dkxj	汇报
dkxm	汇编
dkxn	横征暴敛
dkxr	回拨
dkxt	回禀
dkyz	回头
dkyb	回调
dkyd	会堂
dkyg	绘图
dkyh	会谈
dkyl	回帖
dkym	回天
dkyo	会同
ehpn	𫢸
dl	害怕
dldf	呼朋唤友
dlfz	好朋友
dlfx	呼朋引伴
dlhg	黄袍加身
dlhk	鸿篇巨制
dlhn	黄浦江
dlhq	黄埔军校
dliz	和平共处五项原则
dliv	和平鸽
dlic	和平共处
dlie	狐朋狗党
dlif	狐朋狗友
dllg	红扑扑
dlmm	海平面
dlnj	胡拼乱凑
dlnn	很漂亮
dlyc	和盘托出
dm	后面
dmsn	回马枪
dmwf	浩渺无垠
dmwn	横蛮无理
dmbm	横眉怒目
dmda	忽明忽暗
dmeh	黑名单
dmfg	回眸一笑百媚生
dmfh	鸿门宴
dmfq	回眸一笑
dmfy	黄毛丫头
dmge	好谋善断
dmgf	横眉竖眼
dmhn	荒谬绝伦
dmin	汗马功劳
dmiq	哈密瓜
dmjv	花名册
dmla	好马配好鞍
dmmi	灰蒙蒙
dmnk	横眉冷对千夫指
dmod	侯门似海
dmog	红霉素
dmok	火冒三丈
dmpg	讳莫如深
dmqc	黄梅戏
dmqm	很明显
dmxj	好马不吃回头草
dmxt	坏毛病
dmxy	好马不回头
eho	𬘘
dns	皇权
dnss	荒丘
dnsp	黄泉
dnst	火力全开
dnsy	黄雀
dnw	好莱坞
dnww	皇位
dnwd	互联网
dnwg	荒芜
dnwk	化零为整
ehok	𬘘
erhz	𬭚
elvh	𫶇
eoce	𬟽
dnzz	回炉再造
dnzc	幌子
dnzd	洪涝灾害
dnzg	皇族
ekvp	𬯎
dnvw	何乐而不为
dnvb	皇恩
ekhz	𬭚
f	一
fa	亚
dnbs	黄牛
fat	呀
dnbm	荒年
faf	雅
fat	吖
dncg	皇储
dnci	谎称
dncj	皇朝
dnco	蝗虫
fac	压
dncy	好了疮疤忘了痛
faa	牙
dnds	换来换去
dnds	晃来晃去
dndw	话里话外
dndz	皇后
dndv	黄河
dnde	黄海
dndf	黄昏
dndg	恍惚
dndg	花里胡哨
dndk	慌里慌张
dndn	晃晃
dndp	忽冷忽热
dndq	谎话
dndq	活灵活现
dndr	惶惑
dndy	糊里糊涂
fax	丫
fah	鸭
dnez	黄豆
dnec	皇帝
dned	晃荡
dnef	惠灵顿
dneh	荒诞
dneh	画龙点睛
dnei	红绿灯
dnej	荒岛
dneo	晃动
fae	涯
fav	崖
dnfz	晃悠
dnfv	荒野
dnfd	话里有话
dnfh	晃眼
dnfh	谎言
dnfi	换了一个
dnfk	坏了一锅粥
dnfm	黄粱一梦
dnfp	荒原
dnft	黄莺
dnfx	荒淫
fab	娅
dngw	寒来暑往
dnga	黄沙
dngc	皇室
dngd	皇上
dngh	黄山
dngh	花落谁家
dngk	花露水
dngu	慌神
fau	押
dngy	好了伤疤忘了疼
fatf	哑
dnhs	鹤立鸡群
faj	芽
dnhb	荒郊
dnhc	惶急
dnhg	后来居上
dnhn	黑龙江
dnhq	皇家
dnht	狐狸精
dnhx	黄金
dnhx	汗流浃背
dnif	互利共赢
dnin	黄光
dnio	皇宫
dnip	皇冠
dniq	黄瓜
dnir	火龙果
fafb	鸦
dnjf	荒村
dnjj	荒草
fack	轧
fap	伢
fay	垭
fas	氩
dnkc	荒置
dnkd	慌张
dnkg	虎狼之师
facf	蚜
dnls	虎落平阳被犬欺
dnlc	荒僻
dnle	黄牌
dnlf	虎落平阳
dnlg	黄埔
dnlr	黄脸婆
dnms	荒谬
dnmw	黄梅
dnmd	慌忙
dnmi	红楼梦
dnmj	黄毛
dnmm	黄粱美梦
dnmr	荒漠
dnns	灰溜溜
dnnv	黄了
dnnc	黄鹂
dnnf	遑论
