# text	overrides
# Overrides are tone-less pinyin for characters whose phrase reading differs
# from the character's primary reading. Multiple overrides may be separated by tabs.
农业银行	行:hang
浦发银行	行:hang
人民银行	行:hang
商业银行	行:hang
招商银行	行:hang
投资银行	行:hang
中行	行:hang
工行	行:hang
建行	行:hang
交行	行:hang
招行	行:hang
农行	行:hang
支行	行:hang
分行	行:hang
商行	行:hang
行业	行:hang
各行各业	行:hang
隔行如隔山	行:hang
行家	行:hang
行家一出手，就知有没有	行:hang
行情	行:hang
行当	行:hang
行规	行:hang
行话	行:hang
行货	行:hang
行行出状元	行:hang
行有行规	行:hang
排行	行:hang
排行榜	行:hang
本行	行:hang
老本行	行:hang
三句话不离本行	行:hang
内行	行:hang
内行看门道	行:hang
外行	行:hang
外行看热闹	行:hang
懂行	行:hang
转行	行:hang
改行	行:hang
一目十行	行:hang
字里行间	行:hang
行不更名	行:hang
行不更名，坐不改姓	行:hang
行不得也哥哥	行:hang

长出	长:zhang
长大	长:zhang
长幼	长:zhang
长牙	长:zhang
长进	长:zhang
长草	长:zhang
长胖	长:zhang
长老	长:zhang
长孙	长:zhang
长肉	长:zhang
长相	长:zhang
长兄	长:zhang
长辈	长:zhang
长膘	长:zhang
长大成人	长:zhang
成长	长:zhang
健康成长	长:zhang
茁壮成长	长:zhang
生长	长:zhang
滋长	长:zhang
增长	长:zhang
增长率	长:zhang
高增长	长:zhang
长他人志气	长:zhang
长他人志气，灭自己威风	长:zhang
春生夏长	长:zhang
此风不可长	长:zhang
小人长戚戚	长:zhang
酋长	长:zhang
区长	长:zhang
外长	长:zhang
尊长	长:zhang
组长	长:zhang
阿拉伯联合酋长国	长:zhang
年长	长:zhang
厂长	长:zhang
处长	长:zhang
船长	长:zhang
行长	长:zhang
会长	长:zhang
董事长	长:zhang
队长	长:zhang
院长	长:zhang
营长	长:zhang
首长	长:zhang
社长	长:zhang
市长	长:zhang
师长	长:zhang
省长	长:zhang
军长	长:zhang
局长	长:zhang
家长	长:zhang
家长里短	长:zhang
警长	长:zhang
