;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=32
Pinyin=@
PinyinLength=32
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a	安
bugv	襮
bugw	壆
buha	拨号
buhd	不识好歹
buhe	不适合
buhk	驳回
buhp	波黑
buhu	白山黑水
buhv	䂍
buhv	班师回朝
buhx	不识好人心
buhx	渤海
buic	欂
buic	榑
buid	䮂
buid	柭
buie	波折
buih	䮀
buik	袰
buik	驋
buil	柏
buiq	播种
buiqinjc	伯仲之间
buir	饱食终日
buis	驳
buis	駮
buis	駁
buiv	檘
buix	不时之需
buiz	桲
buja	备受煎熬
bujc	㗘
bujf	伯爵
bujk	啵
bujl	不胜酒力
bujl	脖颈
bujn	搏击
bujn	波及
bujr	跛脚
bujv	㖕
bujv	嚗
bujw	噃
bujx	避实就虚
bujz	哱
bukb	䍨
bukc	䍸
bukc	㞈
buke	䨌
buke	博客
bukh	宝山空回
bukh	拨款
bukk	㝿
bukk	紴
bukl	百事可乐
bukq	䊿
bukx	拨开
bule	不说了
bule	伯乐
bulf	帛
bulhfoii	拨乱反正
buli	皪
bull	䫊
bulm	不识庐山真面目
buln	玻璃
bulnbp	玻璃杯
bulnxcwp	玻璃纤维
bulnzn	伯利兹
bulo	魄
bulo	波兰
bulo	波澜
bulobjjl	波澜不惊
bulohk	博览会
buloigku	波澜壮阔
buloqduj	博览群书
buloqnfj	波澜起伏
bulr	备受凌辱
buls	波浪
bulu	逼上梁山
bulu	菠萝
buludehx	波罗的海
bulumn	菠萝蜜
bulxpm	舶来品
buly	㼣
bumc	䰊
bumj	不胜枚举
bumj	伯母
bumk	鱍
buml	鲌
buml	鮊
buml	不甚明了
buml	搏命
bumq	䰷
bumu	背山面水
bumx	僰
bumy	不是吗
bun	不是
bund	䳁
bunq	拨弄
bunz	㹀
buoc	髆
buoc	䪇
buod	䯋
buoh	瓟
buoq	髉
buos	㼎
buov	瓝
bupc	簿
bupc	簙
bupd	剝
bupf	艊
bupk	簸
bupk	般
bupk	䝛
bupl	舶
bupl	箔
bupn	癶
bupo	癷
bupw	䒄
buqc	搏
buqd	拨
buqf	不胜其烦
buqj	白手起家
buqj	博取
buqk	撥
buql	缽
buqn	勃起
buqv	擗
buqv	㧳
buqv	㩧
buqw	播
buqx	冰释前嫌
buqz	㩭
buqz	挬
burc	膊
burc	㬍
buri	䑈
burj	謈
burl	胉
burobcse	勃然变色
burodynj	勃然大怒
burs	㬧
buru	不省人事
burv	肑
burx	不胜荣幸
burz	脖
busc	愽
busn	波斯
busnnnyy	波斯尼亚
busnwo	波斯湾
busq	播送
bust	䭯
busv	懪
busy	播撒
buta	波涛
butaxqyq	波涛汹涌
butc	䗚
butj	不识抬举
butk	蚾
butq	拨通
butv	彴
buuc	猼
buud	不是省油的灯
buuj	不失时机
buul	狛
buun	博士
buunxfwp	博士学位
buuu	跋山涉水
buuw	不识时务
buuy	搏杀
buvb	勃
buvc	博
buvc	礴
buvc	礡
buvc	馎
buvc	㞈
buvd	不是吃素的
buve	郣
buve	泊车
buvi	檗
buvi	盋
buvi	糪
buvj	办事处
buvj	播出
buvl	砵
buvn	鹁
buvn	鵓
buvn	驳斥
buvs	波长
buvv	擘
buvw	磻
buvx	杯水车薪
buvz	饽
buvz	孛
buvz	孹
buvz	餑
buwb	䟆
buwj	䞳
buwjgh	博物馆
buwm	榜上无名
buwn	㙸
buwp	不失为
buwp	泊位
buwt	不是问题
buwy	必输无疑
buwz	波纹
buwzqgjn	博闻强记
buwzqgun	博闻强识
buxc	䭦
buxc	餺
buxf	博学
buxfducx	博学多才
buxl	伯
buxl	㑟
buxl	䬪
buxl	波形
buxq	佛
buxv	仢
buxw	僠
buxw	博士学位
buxz	侼
buyb	不说也罢
buydjcrn	拨云见日
buyg	不是一个
buyi	背水一战
buyj	冰山一角
buyk	玻
buyl	不适应
buyl	播映
buym	榜上有名
buym	波音
buym	播音
buyn	博弈
buyt	不是冤家不聚头
buyu	亳
buyw	譒
buyy	败事有余
buyz	誖
buzb	䟛
buzb	䢌
buzj	踣
buzj	䢪
buzj	跛足
buzk	跛
buzk	蹳
buzk	䟦
buzn	脖子
buzv	趵
buzy	㪍
bv	别
bv	憋
bv	瘪
bv	鳖
bv	蹩
bv	鼈
bv	鱉
bv	莂
bv	㓖
bv	㢼
bv	㱸
bv	㲢
bv	㿜
bv	䇷
bv	䉲
bv	䋢
bv	䏟
bv	䠥
bv	䭱
bv	別
bv	彆
bv	徶
bv	柭
bv	柲
bv	癟
bv	虌
bv	蛂
bv	蟞
bv	襒
bv	龞
bv	䘷
bv	䳤
bvad	䭱
bvai	㲢
bvbi	把持不住
bvbj	罢黜百家
bvbn	不吵不闹
bvby	百吃不厌
bvby	别把
bvcd	莂
bvcp	虌
bvdb	㓖
bvde	别的
bvdm	鳖
bvdm	鱉
bvdn	䳤
bvdo	彆
bvdp	鼈
bvdp	龞
bvdq	别动
bvds	憋
bvdsiz	别当真
bvdt	蟞
bvdt	别逗
bvdv	㱸
bvdx	蹩
bvfy	不成方圆
bvgb	百尺竿头更进一步
bvgd	䘷
bvgh	百川归海
bvgh	别管
bvgt	百尺竿头
bvgu	别国
bvgy	襒
bvgzwuuu	别跟我说
bvha	别号
bvhegjlh	别鹤孤鸾
bvhg	别慌
bvhl	不差毫厘
bvht	别后
bvid	柭
bvie	憋着
bvil	柲
bvin	别致
bvit	不吃这一套
bviz	别针
bvjd	别
bvjd	別
bvji	别出机杼
bvjjjgxm	别具匠心
bvjjynge	别具一格
bvjn	别急
bvjq	避重就轻
bvjr	蹩脚
bvjw	别家
bvjx	备尝艰辛
bvjy	不成敬意
bvke	别克
bvkj	别哭
bvko	别看
bvkxuimc	别开生面
bvlc	㿜
bvlc	癟
bvld	别论
bvle	不扯了
bvle	别了
bvll	瘪
bvln	拔出萝卜带出泥
bvln	别离
bvlsfp	别浪费
bvlsfple	别浪费了
bvlx	别来
bvlxieynta	别来这一套
bvlxwjys	别来无恙
bvmj	鞭长莫及
bvml	别名
bvms	别忙
bvmz	憋闷
bvna	别闹
bvnale	别闹了
bvnb	别扭
bvnq	别弄
bvod	㢼
bvpa	别跑
bvpd	䇷
bvpi	别碰
bvpm	半成品
bvps	䋢
bvpy	别怕
bvqj	憋屈
bvqj	别去
bvqn	憋气
bvqs	䉲
bvqw	不成其为
bvrl	䏟
bvrs	别让
bvrz	别人
bvsl	不出所料
bvsn	憋死
bvso	瘪三
bvtd	蛂
bvtn	别提
bvtnle	别提了
bvtt	不成体统
bvtxgufz	别太过分
bvtxwo	别太晚
bvtxwole	别太晚了
bvty	徶
bvuj	别墅
bvuq	悲春伤秋
bvus	别上
bvut	别手
bvuu	别说
bvuy	别傻
bvva	别吵
bvvh	别传
bvvi	别称
bvvj	别处
bvvjjnij	别出机杼
bvvjxmcx	别出心裁
bvwjsuqb	别无所求
bvwjtyfy	别无他法
bvwjtytj	别无他途
bvwjtywj	别无他物
bvwjvswj	别无长物
bvwjxhze	别无选择
bvwp	别为
bvws	别忘
bvwt	不成问题
bvwz	别问
bvxc	别出心裁
bvxg	别想
bvxh	报仇雪恨
bvxr	别笑
bvxw	不耻下问
bvxwve	别瞎扯
bvyq	别用
bvyr	不齿于人
bvys	不吃羊肉惹身臊
bvys	别样
bvytdqtc	别有洞天
bvytfiwp	别有风味
bvyttcdn	别有天地
bvytynfo	别有一番
bvytynfofiwp	别有一番风味
bvytyqxm	别有用心
bvyw	不出意外
bvzj	憋足
bvzjlejm	憋足了劲
bvzn	别字
bvzt	别走
bvzx	别再
bvzy	䠥
bwbh	不温不火
bwbj	百闻不如一见
bwbw	不闻不问
bwch	不枉此行
bwdl	不无道理
bwdl	不稳定
bwgh	博物馆
bwgx	不无关系
bwhj	不外乎
bwio	保卫战
bwiq	比武招亲
bwiy	不务正业
bwjj	百无禁忌
bwjy	保外就医
bwki	不问可知
bwll	百无聊赖
bwqb	不畏强暴
bwqb	不问青红皂白
bwqj	博闻强记
bwqu	不完全是
bwqu	博闻强识
bwri	不为人知
bwru	不外如是
bwsd	不为所动
bwsq	别无所求
bwtf	别无他法
bwtt	别无他途
bwtw	别无他物
bwvw	别无长物
bwvx	不忘初心
bwwq	不为瓦全
bwwy	布娃娃
bwwy	不为五斗米折腰
bwxz	别无选择
bwyg	霸王硬上弓
bwyu	百无一用是书生
bwyy	百无一用
bx	白
bx	百
bx	败
bx	摆
bx	拜
bx	柏
bx	掰
bx	稗
bx	佰
bx	捭
bx	伯
bx	呗
bx	擘
bx	粺
bx	襬
bx	贁
bx	薭
bx	㓦
bx	㗑
bx	㗗
bx	㠔
bx	㧳
bx	㼟
bx	㼣
bx	㿟
bx	䒔
bx	䙓
bx	䢙
bx	䥯
bx	䳆
bx	䴽
bx	唄
bx	庍
bx	拝
bx	挀
bx	擺
bx	敗
bx	栢
bx	猈
bx	瓸
bx	竡
bx	粨
bx	絔
bx	韛
bxaa	白雪皑皑
bxav	稗
bxba	百宝
bxbc	百变
bxbd	不许百姓点灯
bxbf	不修边幅
bxbj	摆布
bxbj	不徐不疾
bxbjvhys	百步穿杨
bxbl	竡
bxbl	百病
bxbl	本相毕露
bxbl	白血病
bxbn	败笔
bxbnwpxw	白璧微瑕
bxbo	百般
bxbo	便携版
bxbodrno	百般刁难
bxbp	百倍
bxbt	本乡本土
bxbv	䴽
bxbv	拜别
bxbx	拜拜
bxbxpsps	白白胖胖
bxbxut	摆摆手
bxby	半信半疑
bxca	百草
bxch	不虚此行
bxcj	白醋
bxcl	䒔
bxcm	冰雪聪明
bxcnmubc	百辞莫辩
bxcv	薭
bxcx	白菜
bxda	拜倒
bxdc	白点
bxdc	博学多才
bxdcfi	白癜风
bxde	不晓得
bxdh	彪形大汉
bxdj	百度
bxdjbjqm	百毒不侵
bxdjbjyo	百读不厌
bxdl	白丁
bxdn	白底
bxdq	摆动
bxdu	不想多说
bxdx	白带
bxdx	碧血丹心
bxdy	白搭
bxeelusn	白俄罗斯
bxeg	败兴而归
bxei	不幸而言中
bxei	不宣而战
bxev	㠔
bxfj	不相符
bxfl	䥯
bxfo	白饭
bxfp	白费
bxfpdxxl	百废待兴
bxfpjjxl	百废俱兴
bxfpktue	白费口舌
bxfplnqn	白费力气
bxfpxmjn	白费心机
bxfs	拜访
bxfs	摆放
bxfu	拜佛
bxfy	白发
bxfy	变戏法
bxfybxiq	百发百中
bxfycscs	白发苍苍
bxfz	百分
bxfzbn	百分比
bxfzbx	百分百
bxfzdc	百分点
bxfzha	百分号
bxfzin	百分之
bxfzinbx	百分之百
bxfzinyn	百分之一
bxgb	不惜工本
bxge	白鸽
bxgeiilb	百舸争流
bxgg	白光
bxgh	䙓
bxgh	百官
bxgh	八仙过海
bxgh	不习惯
bxgi	白雪公主
bxgj	白骨
bxgjjl	白骨精
bxgl	襬
bxgo	白干
bxgojrjn	百感交集
bxgp	败给
bxgq	白宫
bxgr	白
bxgu	白果
bxha	摆好
bxhe	百合
bxhelgvn	白鹤亮翅
bxhh	不喜欢
bxhj	白虎
bxhk	拜会
bxhl	败坏
bxho	不稀罕
bxhu	百货
bxhw	白话
bxhw	不像话
bxhwhw	白花花
bxhwiiyo	百花争艳
bxhwqnfs	百花齐放
bxia	败招
bxie	摆着
bxiebjhk	百折不回
bxiebjna	百折不挠
bxihqchk	百转千回
bxii	摆正
bxii	不祥之兆
bxil	柏
bxil	栢
bxil	粨
bxin	白纸
bxinhpzn	白纸黑字
bxinynis	白纸一张
bxiobjdx	百战不殆
bxiobxui	百战百胜
bxis	败仗
bxit	白昼
bxiv	粺
bxiy	宝相庄严
bxjb	白酒
bxjc	拜见
bxjc	摆件
bxjd	败军
bxjdinjg	败军之将
bxjh	白卷
bxjh	抱薪救火
bxjj	败局
bxjj	悲喜剧
bxjj	悲喜交集
bxjjguxn	白驹过隙
bxjjyndl	败局已定
bxjl	唄
bxjl	白净
bxjm	白金
bxjn	败绩
bxjq	㗑
bxjv	㗗
bxjw	败家
bxjwiiml	百家争鸣
bxjwxl	百家姓
bxjwzn	败家子
bxjx	呗
bxjy	败
bxke	百科
bxkeqhuj	百科全书
bxkl	絔
bxkobjyo	百看不厌
bxktmubc	百口莫辩
bxku	摆阔
bxkx	摆开
bxlc	白脸
bxlcvigs	百炼成钢
bxld	㓦
bxld	本小利大
bxle	白了
bxlg	百两
bxlj	白鹭
bxlj	败露
bxll	㿟
bxll	白领
bxlm	柏林
bxln	䳆
bxlntryn	百里挑一
bxlntthq	白里透红
bxlodn	白兰地
bxlp	败类
bxlq	必先利其器
bxlqmziz	摆龙门阵
bxlqyjfj	白龙鱼服
bxlu	败落
bxlubj	白萝卜
bxlw	本小利微
bxly	㼟
bxly	㼣
bxly	巴西利亚
bxly	标新立异
bxlytj	柏拉图
bxma	白猫
bxmc	白面
bxml	百
bxml	摆明
bxmn	百米
bxmo	摆满
bxmr	白描
bxms	白忙
bxmsiniq	百忙之中
bxmu	白沫
bxmy	白马
bxmywszn	白马王子
bxnc	拜年
bxnc	百年
bxncbjyj	百年不遇
bxncdyjn	百年大计
bxnchahe	百年好合
bxncnoyj	百年难遇
bxnl	不懈努力
bxnn	不像你
bxnpis	白内障
bxnq	摆弄
bxnr	百鸟
bxnrvafi	百鸟朝凤
bxny	本性难移
bxnz	白嫩
bxof	庍
bxpaynts	白跑一趟
bxpj	摆谱
bxpk	韛
bxpl	摆平
bxpm	必需品
bxpnuj	白皮书
bxqg	百强
bxqh	摆
bxqi	败絮其中
bxqj	保险起见
bxql	擺
bxqn	挀
bxqn	保修期
bxqq	拝
bxqv	捭
bxqv	㧳
bxqy	背信弃义
bxrehw	白热化
bxrn	白日
bxrnfpui	白日飞升
bxrnmi	白日梦
bxrnzumi	白日做梦
bxrt	白肉
bxry	贁
bxry	敗
bxrz	白人
bxse	白色
bxse	百色
bxsekqbj	白色恐怖
bxsj	败诉
bxsk	百岁
bxsnbjjv	百思不解
bxsq	白送
bxsq	不徇私情
bxtc	白天
bxtcee	白天鹅
bxtchpye	白天黑夜
bxtj	白兔
bxtk	败退
bxto	摆摊
bxtr	白条
bxts	拜堂
bxts	白糖
bxtt	白头
bxttdala	白头到老
bxttfy	白头发
bxttwi	白头翁
bxttxvla	白头偕老
bxtu	摆脱
bxtu	拜托
bxtule	拜托了
bxtx	百态
bxue	摆设
bxuh	笔下生花
bxun	拜师
bxun	半小时
bxun	八小时
bxunbxll	百试百灵
bxunkele	百事可乐
bxunytyj	败事有余
bxuo	拜山
bxuohpuk	白山黑水
bxus	摆上
bxut	拜寿
bxutqnjw	白手起家
bxuu	白说
bxuv	猈
bxux	不相上下
bxuy	白纱
bxve	别瞎扯
bxvh	百川
bxvhgkhx	百川归海
bxvi	不相称
bxvj	摆出
bxvn	白痴
bxvnbjyo	百吃不厌
bxvngott	百尺竿头
bxvngottgijmynbj	百尺竿头更进一步
bxvq	拜
bxvu	笔下超生
bxvv	掰
bxvv	擘
bxwj	冰消瓦解
bxwjjmjn	百无禁忌
bxwjlrlx	百无聊赖
bxwjynyq	百无一用
bxwjynyqunujui	百无一用是书生
bxwm	不相为谋
bxwo	百万
bxwp	百位
bxws	不希望
bxwu	不学无术
bxwzbjrjynjc	百闻不如一见
bxxc	白线
bxxf	白雪
bxxfanan	白雪皑皑
bxxfgqij	白雪公主
bxxjqniq	败絮其中
bxxl	佰
bxxl	伯
bxxl	百姓
bxxlehgk	败兴而归
bxxm	不小心
bxxm	不相信
bxxn	白皙
bxxv	拜谢
bxxv	不信邪
bxxvbl	白血病
bxya	白药
bxya	不需要
bxyd	白云
bxye	百业
bxyg	不屑一顾
bxyh	百元
bxyi	不幸言中
bxyj	白玉
bxyj	不屑于
bxyj	不惜一切代价
bxyjwjxw	白玉无瑕
bxyl	瓸
bxym	白银
bxynbxud	百依百顺
bxyntcun	白衣天使
bxyo	白眼
bxys	白羊
bxyszu	白羊座
bxyt	柏油
bxyy	比下有余
bxzj	白族
bxzjinvq	百足之虫
bxzl	䢙
bxzn	白字
bxzs	不肖子孙
bxzt	败走
bxztmxvi	败走麦城
bxzu	白做
bxzx	摆在
bxzxmcqc	摆在面前
by	把
by	八
by	吧
by	巴
by	爸
by	罢
by	拔
by	霸
by	叭
by	坝
by	跋
by	疤
by	扒
by	芭
by	靶
by	笆
by	耙
by	粑
by	魃
by	鲅
by	捌
by	灞
by	鲃
by	钯
by	菝
by	妭
by	朳
by	羓
by	胈
by	岜
by	蚆
by	伯
by	鲌
by	鮊
by	茇
by	罷
by	鮁
by	釟
by	軷
by	覇
by	跁
by	鼥
by	㔜
by	㖠
by	㞎
by	㧊
by	㶚
by	䃻
by	䆉
by	䇑
by	䎬
by	䎱
by	䟦
by	䥯
by	䩗
by	䩻
by	䰾
by	䱝
by	䳁
by	䳊
by	丷
by	仈
by	叐
by	哱
by	哵
by	垻
by	壩
by	夿
by	峇
by	弝
by	扷
by	抜
by	柭
by	欛
by	炦
by	犮
by	玐
by	癹
by	皅
by	矲
by	詙
by	豝
by	鈀
by	颰
by	魞
by	㸭
by	㺴
by	㿬
by	䤢
byad	炦
byal	䆉
byba	八宝
bybait	八宝粥
bybh	䎬
bybjde	巴不得
bybjyyxmjnnpyy	巴布亚新几内亚
bybl	耙
bybl	䎱
bybl	把柄
bybn	芭比
bybnld	巴比伦
bybo	不一般
bybr	不依不饶
bybu	百依百顺
bybv	䇑
bybx	八百
bybxinjr	八拜之交
bybxln	八百里
byby	爸爸
byby	不阴不阳
bybydusn	巴巴多斯
bybymx	把把脉
bybymymy	爸爸妈妈
byca	拔草
bycd	菝
bycd	茇
bycl	芭
bycn	贬义词
bycn	褒义词
byda	霸道
bydaxgij	拔刀相助
byde	不由得
bydettvt	拔得头筹
bydg	丷
bydh	必要的话
bydi	不要当真
bydl	夿
bydl	不一定
bydn	比亚迪
bydnehqn	拔地而起
bydr	灞
bydr	㶚
bydr	拔掉
bydt	巴豆
bydt	别有洞天
bydu	不用多说
bydx	不用担心
byef	不翼而飞
byehgo	巴尔干
byehiyke	巴尔扎克
byej	峇
byel	岜
byet	不约而同
byey	不言而喻
byez	不一而足
byfb	䤢
byfd	鼥
byfd	颰
byfi	把风
byfl	钯
byfl	釟
byfl	䥯
byfl	鈀
byfs	八方
byfu	不由分说
byfw	别有风味
byfz	八月份
byga	拔高
bygb	㔜
byge	八个
bygg	扒光
bygh	把关
bygh	殡仪馆
bygj	八股
bygk	叐
bygn	八
bygozndybjie	八竿子打不着
bygq	罢工
bygulcjd	八国联军
bygw	八卦
bygx	不应该
byhb	巴
byhe	拔河
byhf	必有后福
byhg	八荒
byhh	罢
byhj	跋扈
byhl	罷
byhu	便宜行事
byhw	边缘化
byhymy	巴哈马
byhz	疤痕
byic	不义之财
byid	柭
byie	八折
byij	霸主
byij	布衣之交
byil	粑
byil	朳
byil	必由之路
byin	不一致
byio	霸占
byip	不予置评
byir	欛
byis	巴掌
byis	鲍鱼之肆
byjbbjlnun	八九不离十
byjbdciq	八九点钟
byjbyffz	八九月份
byjc	拔尖
byjd	哵
byjl	吧
byjl	叭
byjl	不宜久留
byjm	不要紧
byjn	吧唧
byjnsnto	巴基斯坦
byjr	八角
byjr	芭蕉
byjr	拨云见日
byjs	㖠
byjv	巴结
byjy	必有近忧
byjz	哱
byke	罢课
bykl	羓
bykq	把控
bykq	不用客气
bykr	霸
bykx	扒开
bylc	不予理睬
bylc	不要脸
byle	罢了
byle	不用了
bylesnto	巴勒斯坦
bylg	八两
bylh	不亦乐乎
byli	比翼连枝
bylj	八路
byljjd	八路军
byll	爸
byll	疤
byll	皅
bylm	巴林
byln	巴黎
bylp	芭蕾
bylpwj	芭蕾舞
bylq	饱以老拳
byly	扒拉
bylygk	巴拉圭
byma	拔毛
bymc	罢免
bymclllq	八面玲珑
bymclxfi	八面来风
bymcwpfi	八面威风
bymd	鲅
bymd	鮁
bymh	便宜没好货
byml	鲃
byml	鲌
byml	鮊
byml	䰾
bymrijvs	拔苗助长
bymv	䱝
bymx	魞
bymx	把脉
bymy	爸妈
bymz	把门
bynd	妭
bynd	䳁
bynl	㸭
bynr	比翼鸟
byns	布宜诺斯艾利斯
bynymy	巴拿马
byod	魃
byoi	䩻
byol	靶
byol	弝
byor	䩗
bypk	癹
bypl	笆
bypl	㿬
bypn	扒皮
bypp	巴
byqb	㧊
byqc	八千
byqd	拔
byqd	捌
byqf	不厌其烦
byqf	比翼齐飞
byqh	霸权
byqhijyn	霸权主义
byqk	扷
byqk	抜
byql	把
byql	扒
byqn	霸气
byqn	变压器
byqv	扒窃
byrd	胈
bysg	半夜三更
bysk	八岁
bysr	覇
bysx	罢赛
bysxluny	巴塞罗那
byta	避孕套
bytc	八天
bytd	軷
bytd	别有天地
bytk	拔腿
bytl	蚆
bytu	白衣天使
bytx	吧台
bytxdyjr	八抬大轿
byue	跋涉
byuf	比翼双飞
byuh	不亦说乎
byui	毕业生
byuj	巴蜀
byun	八十
byuoueuk	跋山涉水
byut	扒手
byut	把守
byut	把手
byuu	布衣蔬食
byuu	不要说
byvd	犮
byve	扒车
byvi	八成
byvj	拔出
byvjbxjw	罢黜百家
byvjlubjdxvjnn	拔出萝卜带出泥
byvl	㞎
byvl	矲
byvl	豝
byvn	䳊
byvn	把持
byvnbjij	把持不住
byvr	䃻
byvs	靶场
bywh	便宜无好货
bywl	垻
bywl	不远万里
bywo	把玩
bywo	八万
bywp	本以为
bywr	壩
bywr	不以为然
byws	霸王
bywsylusgq	霸王硬上弓
bywu	把握
bywv	不以为耻
bywx	坝
bywx	白玉无瑕
bywy	不以为意
bywz	把稳
byxb	罢休
byxc	八仙
byxcguhx	八仙过海
byxd	八旬
byxg	不影响
byxh	闭月羞花
byxj	不允许
byxl	伯
byxl	仈
byxl	必要性
byxm	靶心
byxn	把戏
byxn	巴西
byxnlnyy	巴西利亚
byxrun	八小时
byxv	不用谢
byxw	拔下
byya	避孕药
byyd	詙
byyd	不一样的
byye	霸业
byyf	八月
byyf	别有一番
byyffz	八月份
byyj	不亚于
byyl	玐
byyl	不遗余力
byyn	八一
byyn	不愿意
byys	不一样
byyu	㺴
byyw	别有一番风味
byyx	别有用心
byyy	拔牙
byzd	跋
byzi	不由自主
byzj	布依族
byzk	䟦
byzl	跁
byzm	不言自明
byzn	八字
byznbc	八字辫
byznmpynpv	八字没一撇
byzu	白羊座
bz	本
bz	奔
bz	笨
bz	苯
bz	贲
bz	畚
bz	锛
bz	坌
bz	倴
bz	栟
bz	犇
bz	夯
bz	翉
bz	賁
bz	㡷
bz	㤓
bz	㨧
bz	㮺
bz	㱵
bz	䬱
bz	喯
bz	坋
bz	夲
bz	奙
bz	捹
bz	撪
bz	桳
bz	楍
bz	泍
bz	渀
bz	漰
bz	炃
bz	蟦
bz	逩
bz	錛
bzar	本案
bzba	本报
bzbc	八字辫
bzbg	不醉不归
bzbj	本部
bzbr	本表
bzbu	奔波
bzbw	不早不晚
bzbz	笨笨
bzbzfzfz	本本分分
bzcagsmj	本草纲目
bzcl	苯
bzcl	不在此列
bzcn	本次
bzdb	夯
bzdc	奔
bzdc	渀
bzdl	㱵
bzdl	泍
bzdn	本地
bzdo	笨蛋
bzdowp	本单位
bzdr	漰
bzds	本当
bzdv	夲
bzfc	锛
bzfc	錛
bzfj	奔赴
bzfs	奔放
bzfz	本分
bzgu	本国
bzgv	不足挂齿
bzgx	本该
bzhd	奙
bzhj	不在乎
bzhs	本行
bzhw	畚
bzhx	不在话下
bzie	本着
bzij	栟
bzij	楍
bzij	笨猪
bzin	本质
bzingqzu	本职工作
bzio	本站
bzit	本周
bziu	笨拙
bziv	桳
bziv	百足之虫
bzjb	本就
bzjc	喯
bzjf	不自觉
bzjm	本金
bzjn	本季
bzjv	本届
bzjw	不在家
bzjw	本家
bzke	本科
bzko	本刊
bzku	不做亏心事
bzla	炃
bzlbbjxn	奔流不息
bzld	本轮
bzle	不早了
bzlj	㮺
bzlj	憋足了劲
bzll	不自量力
bzll	本领
bzlp	本类
bzls	翉
bzlu	笔走龙蛇
bzlw	坌
bzlx	本来
bzlxjbun	本来就是
bzlxmcmj	本来面目
bzlxynwp	本来以为
bzme	不怎么
bzml	本名
bzmlnc	本命年
bzmm	本
bzmp	八字没一撇
bzmq	摆在面前
bzmudain	本末倒置
bzmv	败走麦城
bzmy	不怎么样
bzmz	本门
bznc	本年
bzncdj	本年度
bzni	本能
bznn	犇
bznr	笨鸟
bznrxcfp	笨鸟先飞
bzns	抱子弄孙
bzol	㡷
bzpa	奔跑
bzpl	笨
bzpr	本票
bzqc	捹
bzqc	本钱
bzqj	不足取
bzqn	本期
bzqt	撪
bzqw	㨧
bzqw	不在其位
bzrc	不遭人妒是庸才
bzrn	本日
bzro	不自然
bzrz	本人
bzse	本色
bzsl	㤓
bzss	奔丧
bzta	奔逃
bztc	本田
bzti	奔腾
bztj	本土
bztl	蟦
bztn	本体
bztr	本条
bzttbzna	笨头笨脑
bzud	不择手段
bzui	本省
bzun	不再是
bzun	本事
bzutbzjr	笨手笨脚
bzuu	不早说
bzuz	本身
bzvi	不赞成
bzvj	奔出
bzvl	賁
bzvn	奔驰
bzvq	笨重
bzvs	不在场
bzvs	本场
bzvx	贲
bzwd	坋
bzwd	不足为外人道
bzwg	不足为怪
bzwj	不足为据
bzwj	本无
bzwl	不足为虑
bzwp	不作为
bzwp	不足为凭
bzwp	本位
bzwq	不足为奇
bzwu	包在我身上
bzwx	不足为训
bzwz	本文
bzxc	倴
bzxg	奔走相告
bzxg	本想
bzxgbnlj	本相毕露
bzxgbztj	本乡本土
bzxl	䬱
bzxl	本性
bzxlnoyn	本性难移
bzxn	本息
bzxr	本校
bzxrlndy	本小利大
bzxrlnwp	本小利微
bzye	本页
bzyf	本月
bzyh	本源
bzyj	不在于
bzyl	本应
bzym	不足与谋
bzyn	不在意
bzyn	不足以
bzyn	本意
bzynwp	本以为
bzzc	逩
bzzd	本尊
bzzn	本子
bzzt	奔走
bzztxgga	奔走相告
bzzx	不自在
c	从
ca	草
ca	操
ca	曹
ca	槽
ca	糙
ca	嘈
ca	漕
ca	艚
ca	肏
ca	芔
ca	屮
ca	艹
ca	螬
ca	蓸
ca	鼜
ca	艸
ca	㜖
ca	㯥
ca	㽩
ca	㿷
ca	䄚
ca	䎭
ca	䏆
ca	䐬
ca	䒑
ca	傮
ca	嶆
ca	愺
ca	慅
ca	慒
ca	懆
ca	撡
ca	曺
ca	褿
ca	襙
ca	鄵
ca	鏪
ca	騲
ca	㡟
ca	㯾
caar	草案
caba	草包
cabo	操办
cabz	䎭
cabz	草本
cabzinwj	草本植物
caca	曹操
cacaleun	草草了事
cacautvs	草草收场
cacautwp	草草收尾
cacq	草丛
cacr	蓸
cacv	草
cada	操刀
cadd	㯥
cadk	草堆
cadn	草地
cado	操蛋
cadr	漕
caer	䏆
caer	嶆
cafr	鏪
cafr	㡟
caga	草稿
cagi	襙
cagr	䄚
cagr	褿
cagz	草根
cahk	残奥会
cahs	操行
cain	草纸
caingujn	操之过急
cair	槽
caiv	騲
caiz	糙
caiz	㯾
cajcrzml	草菅人命
caje	鄵
cajr	嘈
cajv	草芥
cakk	㿷
cakq	操控
cakt	草寇
cala	操劳
calc	操练
calk	草率
calk	草绿
calkcqun	草率从事
calm	䒑
calr	草料
cama	草帽
camb	艹
camj	草木
camjjvbl	草木皆兵
camm	草民
camn	糙米
camp	草莓
camr	曹
camr	曺
cams	草莽
camsylxq	草莽英雄
cann	草拟
canngezk	肏你个嘴
canr	㜖
capb	芔
capb	屮
capb	艸
capi	草棚
capl	草坪
capo	操盘
capr	艚
caqc	草签
caqi	操
caqn	操起
caqs	撡
carr	䐬
casi	懆
casr	慒
cast	慅
