;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=32
Pinyin=@
PinyinLength=32
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a	安
anutanjr	碍手碍脚
anuubjuu	爱说不说
anuynnyy	爱沙尼亚
anuz	爱神
anva	爱巢
anvc	碍
anvf	硙
anvi	爱称
anvm	磑
anvn	矮
anvn	躷
anvn	爱吃
anvs	砹
anvt	哀愁
anvx	礙
anvx	硋
anvy	毐
anvy	懓
anwi	塧
anwi	壒
anwjjnwj	爱屋及乌
anwo	爱玩
anwp	堨
anws	㘷
anwv	埃
anxj	㑸
anxm	爱心
anxmbjxm	爱信不信
anxmjflu	爱新觉罗
anxn	爱惜
anxnyjma	爱惜羽毛
anxp	伌
anxp	餲
anxr	矮小
anxx	䬵
anxy	僾
anye	艾叶
anyh	哀怨
anyj	碍于
anyk	哀
anyk	瑷
anymsnto	爱因斯坦
anyn	爱意
anyo	碍眼
anyp	譪
anyq	爱用
anys	諰
anytwp	哎呦喂
anyu	哎哟
anyx	欬
anyx	譺
anyy	璦
anyy	哎呀
anzi	爱憎
anzifzml	爱憎分明
anzn	矮子
anznbl	艾滋病
anzt	挨揍
anzyzydn	爱咋咋地
apld	安贫乐道
aqbi	哀其不争
aqdy	安全第一
aqgo	安全感
aqhx	爱琴海
aqjj	安全局
aqmh	鞍前马后
aqpc	爱情片
aqrm	爱钱如命
aqsh	阿其所好
aqxl	安全性
ar	安
ar	案
ar	按
ar	暗
ar	岸
ar	俺
ar	黯
ar	庵
ar	氨
ar	鞍
ar	胺
ar	谙
ar	鹌
ar	铵
ar	桉
ar	犴
ar	埯
ar	盦
ar	唵
ar	垵
ar	广
ar	厂
ar	鮟
ar	闇
ar	鶕
ar	揞
ar	菴
ar	盫
ar	貋
ar	韽
ar	罯
ar	裺
ar	鵪
ar	㜝
ar	㟁
ar	㱘
ar	㸩
ar	㽢
ar	䁆
ar	䅁
ar	䅖
ar	䎏
ar	䎨
ar	䜙
ar	䨄
ar	䬓
ar	䮗
ar	䯥
ar	侒
ar	偣
ar	儑
ar	厈
ar	咹
ar	啽
ar	堓
ar	媕
ar	屵
ar	屽
ar	峖
ar	晻
ar	洝
ar	玵
ar	痷
ar	腤
ar	荌
ar	萻
ar	葊
ar	蓭
ar	誝
ar	諳
ar	豻
ar	銨
ar	錌
ar	隌
ar	雸
ar	鞌
ar	馣
ar	㛺
ar	㞄
ar	㫨
ar	䀂
ar	䢿
ar	䯃
arad	䅖
arad	馣
arar	黯
arar	暗暗
ararjljl	安安静静
ararqhqh	安安全全
ararwzwz	安安稳稳
ararxmxm	安安心心
arba	安保
arbc	岸边
arbd	䎨
arbjdsve	安步当车
arbjjbbo	按部就班
arbjlnmy	鞍不离马
arblbjdq	按兵不动
arbn	鶕
arbo	案板
arbsdlgu	安邦定国
arcc	葊
arcd	菴
arcd	蓭
arcn	荌
arcn	按此
arcr	萻
arcs	暗藏
arcsuyjn	暗藏杀机
arcsxhjn	暗藏玄机
arcu	按错
arcule	按错了
arda	暗道
ardaeh	安道尔
ardaln	按道理
ardd	安顿
ardj	安度
ardjvzcs	暗渡陈仓
ardjwonc	安度晚年
ardl	安定
ardn	鹌
ardn	鵪
ardn	洝
ardn	暗地
ardo	暗淡
ardowjgg	暗淡无光
ardt	广
aren	峖
areo	岸
areo	㟁
areo	屽
arer	隌
aret	屵
arfi	暗讽
arfj	安抚
arfn	铵
arfn	銨
arfo	錌
arfo	案犯
arfr	䬓
arfs	安放
arfy	案发
arfz	安分
arfzutjn	安分守己
argd	裺
arge	暗格
argely	安哥拉
argt	暗沟
arha	暗号
arharjvj	安好如初
arhe	暗合
arhg	暗黄
arhk	安徽
arhkui	安徽省
arho	暗含
arhp	暗黑
arhq	暗红
arhr	罯
arhx	暗害
aria	按照
arie	按着
arig	安装
arigbo	安装版
